cid	lang	wid	lemma	comment	iids	examples	is_basic	scenes	bunrui
66730	ar	148	برد　(يبرد ; برد،برود)	寒さ、風邪（かぜ）;<p class='search_txt'></p>	149	أخبرني عمي أن عصير الليمون مفيد جدا لمعالجة البرد.‏|おじさんは、風邪にはレモンジュースが効くと教えてくれた。	1	病院	1.5721
85910	ar	218	من فضلك	［名詞］好意 فُضُولٌ√فضل;مِنْ فَضْلِكَ（男性形）　どうぞ;<p class='search_txt'>فضول,فضل,من,فضلك</p>	7;72;209;344;349	من فضلك، خذني إلى فندق الشيراتون.‏|シェラトンホテルに連れて行ってください。;;;أعطني كأسا من الماء البارد، من فضلك.‏|冷たい水を一杯ください。;;;من فضلك، أريد إرسال هذا الطرد إلى اليابان.‏|この小包を日本へ送りたいのですが。;;;من فضلك، ناولني الملح.‏|塩を取ってください。;;;من فضلك، أطفئ النور.‏|明かりを消してもらえますか。	1	デパート	2.3660
15578	ar	231	هم	彼ら、彼女たち;<p class='search_txt'></p>	235	هم طلاب من الجامعة نفسها.‏|彼らは同じ大学の学生です。	1	代名詞	1.2010
90777	ar	237	هذا	［指示代名詞］この　女性形هٰذِهِ　複数形هٰؤُلَاءِなど√ذا;لِهٰذَا　このために;<p class='search_txt'></p>	39;56;85;135;200;209;214;218;274;279;327;373;402;411;422;495	سر باستقامة هذا الشارع، ثم انعطف يمينا عند الإشارة.‏|この通りをまっすぐ進んで、信号を右に曲がりなさい。;;;اطبع نسختين من هذا النص.‏|このテキストを２部コピーしてください。;;;هذا الرف طوله 90 سنتيمترا وعرضه 50 سنتيمترا.‏|この棚は、高さが90cmで横幅が50cmです。;;;عندنا امتحانات في نهاية هذا الشهر.‏|今月末に試験があります。;;;ألصق هذا الطابع على الظرف، ثم ضعه في صندوق البريد.‏|この切手を封筒に貼って、ポストに入れなさい。;;;من فضلك، أريد إرسال هذا الطرد إلى اليابان.‏|この小包を日本へ送りたいのですが。;;;أسكن في الطابق السادس من هذا المبنى ومكتبي في الدور الخامس.‏|私はこの建物の６階に住んでいて，事務所は５階にあります。;;;يمكنك ارتداء هذا الجاكيت مع هذا البنطلون في يوم العطلة.‏|このジャケットは、このズボンと一緒に休みの日に着ることができますよ。;;;هذا اللاعب سلوكه سيء.‏|この選手は素行が悪い。;;;هذا القميص قذر جدا، عليك أن تغسله فورا.‏|このシャツすごく汚いよ。すぐに洗いな。;;;هذا العداء ساقاه طويلتان.‏|この走者は脚がないなぁ。;;;سنذهب إلى حفلة موسيقية يوم الثلاثاء من هذا الأسبوع إن شاء الله.‏|今週の火曜日に音楽会に行きます。;;;عليك أن تنهي هذا العمل قبل الظهر.‏|この仕事は午前中に終わらせなければなりません。;;;يغطي الثلج قمة هذا الجبل طوال السنة.‏|この山の頂は１年中雪に覆われている。;;;أنصحك بمشاهدة هذا الفيلم فربما يعجبك.‏|この映画観たほうがいいよ。たぶん気に入るから。;;;اشتريت هذا الحاسب المحمول الأسبوع الماضي وهو أفضل أنواع الحواسيب.‏|このラップトップコンピューターは先週買ったんだけど，一番いいやつなんだ。	1	代名詞	3.1010
159	ar	238	ذلك	それ、あれ;<p class='search_txt'></p>	44	لا تفعل ذلك أبدا أمام الأولاد الصغار.‏|小さな子供の前でそんなことは絶対するな。	1	代名詞	1.1010
15636	ar	242	نَفْسٌ	［名詞］自身、自己；同じ～、～自身、～自体、～そのものأَنْفُسٌ、نُفُوسٌ√نفس;هِوَ نَفْسُهُ　彼自身は、それ自体は;<p class='search_txt'>نفس,أنفس,نفوس,انفس</p>	41;235	أسلم الأقمصة إلى المغسلة، وبقية الغسيل أغسله بنفسي.‏|ワイシャツはクリーニングに出しますが、残りは自分で洗います。;;;هم طلاب من الجامعة نفسها.‏|彼らは同じ大学の学生です。	1	代名詞	1.2020
94125	ar	246	رَفِيعٌ	［形容詞］高い（単独ではほとんど用いられません）√رفع;رَفِيعُ ٱلْمُسْتَوَى　高度な;<p class='search_txt'>رفيع,رفع</p>	251	أصابعها رفيعة وطويلة.‏|彼女の指は細くて長い。	1	形容詞 1	3.1912
93826	ar	269	كَثِيرٌ	［形容詞］多いكِثَارٌ√كثر;بِكَثِيرٍ　多く;كَثِيرٌ مِنْ ~　多くの～;<p class='search_txt'>كثير,كثار,كثر</p>	50;144;65;205;1;79;3025;3030;2583;1331;3170;2763;788;1575;1212;791;498;2951;1330;2664;1384;2903;325;107;260;1260;3029;66;1466;2584;3154;2656;2840;2579;760;2919;1104;1325;820;2631;1488;2635;2964;433	في مكتبة الجامعة كتب ومجلات كثيرة.‏|大学図書館には本や雑誌が沢山あります。;;;التدخين سبب في كثير من الأمراض.‏|喫煙は様々な病気の原因となる。;;;في الربيع تثمر أنواع كثيرة من الفواكه في البلاد العربية.‏|アラブの国々では、春に様々な種類の果物が実ります。;;;في مكتب البريد المركزي شبابيك كثيرة.‏|中央郵便局には窓口が沢山あります。;;;يذهب كثير من السياح اليابانيين إلى مصر كل سنة.‏|毎年、沢山の日本人観光客がエジプトへ行く。;;;يرجع كثير من اليابانيين إلى بيت العائلة في إجازة منتصف شهر أعسطس.‏|日本人の多くは８月半ばの休みに実家に帰ります。;;;هل أعجبك الطعام؟ ... نعم، أعجبني كثيراً.‏|料理はお気に召しましたか。…ええ，とても気に入りました。;;;يبدو أنّك تحبّها كثيراً.‏|彼女のことがとても好きみたいね。;;;فلقد اشتقت إليها كثيراً.‏|彼女がとても恋しかったよ。;;;أعطاهم المدرّس واجبات كثيرة.‏‎‏|教師は彼ちにたくさんの宿題を与えた。;;;اشتريت كثيراً من الطعام والمشروبات.‏|食べ物や飲み物をたくさん買いました。;;;لم أرها منذ زمن طويل وأشتاق إليها كثيراً.‏‎‏|ずいぶん会っていないので，会いたいです。;;;فلقد اشتقت إليها كثيراً.|ほんと，彼女に会いたかったよ。;;;سأقابلها بعد غياب طويل. فلقد اشتقت إليها كثيراً.‏|これから久しぶりに彼女に会うんだ。ほんと，彼女が恋しかったよ。;;;تأخّرنا كثيراً.‏|（私たち）ずいぶん遅れてるよ。;;;يبدو أنّك تحبّها كثيراً.|彼女のことがとっても好きみたいね。;;;هو يعيد كلامه كثيرا كالمسجل.‏|彼はラジカセのように同じ言葉を何度も繰り返す。;;;عندما كنت شابّة لم أكن أدرس كثيراً.‏|（女性が）若いころはあまり勉強しませんでした。;;;أعطى المدرّس طلّابه واجبات كثيرة.‏‎‏|教師は学生たちにたくさんの宿題を与えた。;;;اشتريت كثيراً من الطعام والمشروبات.‏|食べ物や飲み物をたくさん買いました。;;;يبدو أنّك تحبّها كثيراً.‏|彼女のことがとっても好きみたいね。;;;عندما كنت شابّاً لم أكن أدرس كثيراً.‏|（男性が）若いころは，あまり勉強しませんでした。;;;يشبه والده كثيرا بوجهه الأحمر وجسمه السمين.‏|彼は赤ら顔と太った体が彼の父親によく似ている。;;;لقد سمعت هذه القصة كثيرا.‏|その話は何回も聞いたよ。;;;أعجبتني روايتها الجديدة كثيرا.‏|私は彼女の新しい小説がとても気に入りました。;;;سأقابلها بعد غياب طويل. فلقد اشتقت إليها كثيراً.‏|これから久しぶりに彼女に会うんだ。ほんと，彼女が恋しかったよ。;;;فلقد اشتقت إليها كثيراً.‏|彼女がとても恋しかったよ。;;;أحب الخضراوات كثيرا ولا سيما الطماطم.‏|私は野菜の中でもとりわけトマトが大好きです。;;;تأخّرنا كثيراً.‏|（私たち）ずいぶん遅れてるわよ。;;;يبدو أنّك تحبّها كثيراً.‏|彼女のことがとても好きみたいね。;;;لعبت كرة القدم مع زملائي في الشركة وتعبت كثيراً.‏|会社の同僚とサッカーをして，とても疲れました。;;;لعبت كرة القدم مع زملائي في الشركة وتعبت كثيراً.‏|会社の同僚とサッカーをして，とても疲れました。;;;عندما كنت شابّاً لم أكن أدرس كثيراً.‏|（男性が）若いころはあまり勉強しませんでした。;;;هل أعجبك الطعام؟ ... نعم، أعجبني كثيراً.‏|料理はお気に召しましたか。…ええ，とても気に入りました。;;;في الحقيقة، عندي الكثير من الهوايات.|実は，たくさん趣味があるんだよね。;;;نعم، ولكن لو كنت أعرف مفردات أكثر لاستطعت أن أقرأها أسرع.‏|ええ，でももっと語彙力があったら，もっと早く読めるのですが。;;;أيّهما يناسبني أكثر في رأيك؟|どっちのほうが私に似合う思いますか。;;;أيّهما يناسبني أكثر في رأيك؟ ... كلاهما يناسبك.‏|どっちのほうが私に似合う思いますか。…どちらも似合いますよ。;;;أيّهما يناسبني أكثر في رأيك؟|どっちのほうが私に似合う思います。;;;أيّهما يناسبني أكثر في رأيك؟|どっちのほうが私に似合う思いますか。;;;أيّهما يناسبني أكثر في رأيك؟|どっちのほうが私に似合う思いますか。;;;هذا الحذاء مريح أكثر من ذلك.‏|この靴のほうがあっちのよりずっと履き心地がいいですね。;;;نعم، ولكن لو كان لي مفردات أكثر لقدرت أن أقرأها أسرع.‏|ええ，でももっと語彙力があったら，もっと早く読めるのですが。;;;هذه الغرفة رطبة أكثر من اللازم.‏|この部屋は必要以上に寒い。	1	形容詞 2	3.1910
93928	ar	272	قَلِيلٌ	［形容詞］少ないأَقِلَّاءُ、قَلَائِلُ√قلّ;قَليلًا　［副詞］少し√قلّ;<p class='search_txt'>قليل,أقلاء,قلائل,قلايل,اقلاء,قل</p>	278;91;2580;3026;90;1468;1334;900;2406;1214;2767;1424;810;1398;2781;902;290;1082;98;2731;1003;948;2605	عدد المسلمين في اليابان قليل جدا.‏|日本のムスリム人口は非常に少ない。;;;استلق على السرير واسترح قليلا.‏|ベッドに横になって、少し休みなさい。;;;لونه جميل ولكنّه صغير قليلاً‏.‏|色がきれいだけど，ちょっと小さいわね。;;;لونه جميل ولكنّه صغير قليلاً‏.‏|色がきれいだけど，ちょっと小さいわね。;;;انتظر قليلا فسأغسل وجهي وأغير ثيابي خلال ثلاث دقائق.‏|ちょっと待って。３分で顔洗って着替えるから。;;;حرارتي مرتفعة قليلاً.‏|熱が少し高いんです。;;;دعني أفكّر قليلاً.‏|（男性に）少し考えさせてください。;;;حرارتي مرتفعة قليلاً.‏|熱がちょっと高いんです。;;;وهل عندك حرارة أيضاً؟ ... نعم، حرارتي مرتفعة قليلاً.‏|熱もありますか。…はい。熱がちょっと高いんです。;;;حرارتي مرتفعة قليلاً.‏|熱が少し高いんです。;;;تعبنا. لنسترح قليلاً!‏|疲れました。少し休みましょう。;;;قبل أن آتي إلى مصر درست العربيّة قليلاً.‏|エジプトに来る前に，少しアラビア語を勉強しました。;;;ولكنّه صغير قليلاً.|でも，ちょっと小さいわ。;;;قبل أن آتي إلى مصر درست العربيّة قليلاً.‏|エジプトに来る前に，少しアラビア語を勉強しました。;;;افتح فمك قليلاً.‏‎‏|（男性に）少し口を開けなさい。;;;افتح فمك قليلاً.‏|少し口を開けてください。;;;إن هذه القناة تنقل صوت الجنوب إلى العالم.‏|この放送局は南側の声を世界へと伝える。;;;هل معك قلم؟|（男性に）ペンを持っていますか。;;;سينقل التلفزيون مباريات كأس العالم.‏|ワールドカップの試合はテレビ中継される。;;;أريد أن أنقل أخبار العالم العربي بموضوعيّة إلى الشعب اليابانيّ.‏|アラブ世界のニュースを日本の人たちに客観的に伝えたいんです。;;;فأريد أن أنقل أخبار العالم العربيّ بموضوعيّة إلى الشعب اليابانيّ.‏|アラブ世界のニュースを日本の人たちに客観的に伝えたいんだ。;;;كما قلت لك ألّا تترك كتبك وأوراقك في الفصل.‏|それに，私物を教室に置かないよう言いましたね。;;;أريد أن أنقل أخبار العالم العربيّ بموضوعيّة إلى الشعب اليابانيّ.‏|アラブ世界のニュースを日本の人たちに客観的に伝えたいんだ。	1	形容詞 2	3.1910
11437	ar	277	خَارِجٌ	［名詞］外；外国√خرج;+F259خَارِجَ　［前置詞］～の外に;<p class='search_txt'>خارج,خرج</p>	283;2824;4;2507;61;198;483;9;357;3136;282	المطار خارج المدينة.‏|空港は郊外（町の外）にある。;;;اتّصلت بك أوّل أمس ولكن الخطّ كان خارج نطاق الخدمة.‏|おととい貴女に連絡したんですけど，圏外でしたよ。;;;إذا سافرت إلى الخارج فسوف تعرف أن العالم واسع جدا.‏|海外を旅すれば、世界がとても広いということがわかるだろう。;;;في الساعة السابعة والربع أخرج إلى عملي.‏|7時15分に仕事に出かけます。;;;خرج الرجل من المحل مسرعا ولم يدفع الحساب.‏|男は代金を払わずに急いで店を出た。;;;أين المخرج؟ ... المخرج من هنا على اليسار.‏|出口はどこですか。 － 出口はここから左にあります。;;;NGخرج الرجل من المحل مسرعا ولم يدفع الحساب‏|男は代金を払わずに急いで店を出た。;;;للأسف الشديد أنا مشغول يومي يوم الخميس والأحد، لذلك لا أستطيع أن أخرج معك .‏|とても残念なのですが、土日は忙しいので一緒に出かけられません。;;;في شهر أبريل نخرج لمشاهدة زهور الكرز.‏|４月は桜の花を見に出かけます。;;;في الساعة السابعة والربع أخرج إلى عملي.‏|7時15分に仕事に出かけます。;;;وضع الرجل يده في جيبه فأخرج قطعة من الحلوى.‏|男はポケットの中に手を入れ、あめ玉を取り出した。	1	空間	1.1770
10137	ar	286	قَبْلَ	［前置詞］（時間）の前に（before, ago）√قبل;قَبْلَ أَنْ　～する前に;<p class='search_txt'>قبل</p>	213;395;402;1983;1982;2023;323;2670;1303;2674;1424;784;946;3155;1397;1423;1398;3159;292;618	اخلع حذاءك قبل أن تدخل المسجد.‏|モスクに入る前に靴を脱ぎなさい。;;;أتيت إلى اليابان في السنة قبل الماضية.‏|私はおととし日本に来ました。;;;عليك أن تنهي هذا العمل قبل الظهر.‏|この仕事は午前中に終わらせなければなりません。;;;قَبْلَ ثَلَاثَةِ أَيَّامٍ|さきおととい（三日前）;;;أَوَّلَ أَمْسِ  قَبْلَ يَوْمَيْنِ|一昨日（二日前）;;;كَانَتِ ٱلطَّبِينَةُ قَدِ ٱشْتَغَلَتْ فِي ٱلْمُسْتَشْفَى قَبْلَ سَنَتَيْنِ.|その医師(女)は2年前にその病院で働いたのでした。;;;اغسل يديك وفمك قبل الأكل وبعده.‏|食事の前後には手と口を洗いなさい。;;;هل سافرت إلى اليابان من قبل؟ ... نعم، سافرت مرّة واحدة.‏|（女性に）日本に行ったことある？…一度行ったわよ。;;;أنا ذاهب إلى المطار لكي أستقبل حبيبتي.‏|恋人を迎えに空港へ行くところなんだ。;;;هل شربت شوربة الملوخيّة من قبل؟‏|（男性に）モロヘーヤスープを飲んだことある？;;;قبل أن آتي إلى مصر درست العربيّة قليلاً.‏|エジプトに来る前に，少しアラビア語を勉強しました。;;;أنا ذاهب إلى المطار لكي أستقبل حبيبتي.‏|恋人を迎えに空港へ行くところなんだ。;;;قلت لك من قبل "لا تترك ضوء الغرفة مفتوحاً"‏.‏|前にも「部屋の電気をつけっぱなしにするな」って言ったでしょ。;;;هل سافرت إلى اليابان من قبل؟ ... نعم، سافرت مرّة واحدة.‏|（女性に）日本に行ったことある？…一度行ったわよ。;;;ماذا تقولون قبل أن تناموا؟ ... نقول "تصبح على خير".‏|寝る前は何と言うんですか。…「おやすみなさい」と言います。;;;ماذا تقولون قبل أن تناموا؟ ... نقول "تصبح على خير".‏|寝る前は何と言うんですか。…「おやすみなさい」と言います。;;;قبل أن آتي إلى مصر درست العربيّة قليلاً.‏|エジプトに来る前に，少しアラビア語を勉強しました。;;;هل شربتَ شوربة الملوخيّة من قبل؟‏|（男性に）モロヘーヤ・スープを飲んだことある？;;;NGاخلع حذاءك قبل أن يدخل المسجد‏|モスクに入る前に靴を脱ぎなさい。;;;هل سافرت إلى اليابان من قبل؟|日本に行ったことある？	1	空間	1.1700
